,PI,H-Index
0,Amy Ando,32
1,Michael Hitt,153
2,Lance Gharavi,5
3,Jennifer Trueblood,30
4,Valerie Reyna,91
5,Abigail Marsh,54
6,William Zame,43
7,Stephen Read,51
8,Felicia Pratto,73
9,Keela Thomson,7
10,Peter May,49
11,Vernon Smith,155
12,Andrew Guess,33
13,Dana Rose Garfin,26
14,Shanna Swan,91
15,Irwin Levin,62
16,R. Scott Tindale,3
17,Joshua Klayman,21
18,Simon DeDeo,27
19,Sergio Villamayor-Tomas,34
20,Larissa Larsen,25
21,Alexandros Taflanidis,39
22,Sarah Smith,40
23,Miriam Weil,20
24,Kristin Timm,9
25,Scott Shenker,163
26,John Crittenden,112
27,Karina Korostelina,23
28,Tehila Kogut,26
29,Mark Young,84
30,Louise Comfort,47
31,Matthew Rabin,60
32,Robert Kaufmann,77
33,bethany ojalehto,10
34,Paul Ward,69
35,David Budescu,72
36,Hugh Gladwin,28
37,Michaela Huber,18
38,Gulden Ulkumen,12
39,David Lazer,71
40,Susan Slotnick,14
41,Duan Li,54
42,Thomas Webler,56
43,Anastazja Harris,1
44,Tanya Rosenblat,20
45,Nicole Ardoin,43
46,Nancy Grimm,95
47,David Zald,87
48,Elizabeth Albright,18
49,Henry O'Hair,21
50,Gordon Phillips,38
51,Lawrence Williams,62
52,John McMahan,36
53,Jeannette Sutton,39
54,Judy Tan,17
55,Robin Thomas,52
56,David Broniatowski,38
57,Ray Reagans,23
58,E. Flynn,46
59,William Form,17
60,Richard Lewis,60
61,Ann Bostrom,50
62,Dan Simon,107
63,Linda Skitka,66
64,Mariam Krikorian,6
65,Janet Metcalfe,78
66,Stephan Kroll,41
67,Margaret Shih,32
68,Marshall Fisher,58
69,Patricia Champ,36
70,Shalini Misra,16
71,David Konisky,43
72,Dale Yeatts,22
73,Christopher Emrich,37
74,Jesse Dallery,42
75,Joseph Arvai,41
76,Brendan Nyhan,53
77,Jennifer Lobo,19
78,Laura Scherer,60
79,Paul Griffin,40
80,Dennis Proffitt,79
81,Bernd Figner,24
82,Morris Kleiner,37
83,Lisa Ordonez,25
84,Maya Tamir,62
85,John Kerr,42
86,Dean Mobbs,48
87,Alex Greer,33
88,Alison Cullen,29
89,Joshua Teitelbaum,12
90,Ferenc Szidarovszky,46
91,Jonathan Wiener,65
92,Sukumar Ganapati,21
93,Carol Silva,35
94,Dale Stahl,37
95,Richard Freeman,138
96,Mary Frances Luce,36
97,Jonathan Baron,100
98,Terry Connolly,53
99,Holly Arrow,29
100,David Krantz,74
101,Craig McKenzie,20
102,Roger Cooke,61
103,Andrew Caplin,54
104,Mary Rigdon,14
105,Barbara Minsker,38
106,Angela de Oliveira,27
107,Christopher McLeod,45
108,Kevin Linderman,39
109,Guillermo Gallego,52
110,Marvin Goodfriend,45
111,David Schwebel,96
112,Michael Vandenbergh,35
113,Brittany Shoots-Reinhard,10
114,Kurtis Swope,14
115,Jody Chin Sing Wong,6
116,Arnim Wiek,66
117,W. Viscusi,111
118,Wouter Denhaan,39
119,Francesca Molinari,41
120,Martha Grabowski,29
121,John Rust,38
122,Ani Harutyunyan,6
123,Garold Stasser,39
124,Jingwen Zhang,25
125,William Glick,34
126,Krister Andersson,41
127,Shlomo Sher,3
128,Francesca Federico,129
129,Jeffrey DeWitt,5
130,Susan Cutter,84
131,Ido Erev,61
132,Jacob Fooks,12
133,Anne Huff,40
134,Stephen Christman,38
135,Emily Ho,62
136,Johannes Haushofer,35
137,Jennifer Roberts,48
138,Theodore Glickman,28
139,Gabriel Wolken,19
140,Andrew Schotter,55
141,Max Bazerman,109
142,Matthew Hamilton,39
143,Frank Schilbach,16
144,Garrett van Ryzin,38
145,Joshua Viers,48
146,Paul Reynolds,36
147,Manuel Ruiz-Aravena,14
148,Patricia Gober,53
149,Ralph Adolphs,129
150,Levon Barseghyan,17
151,Branden Johnson,36
152,Peter Neumann,67
153,Tracy Hammond,35
154,Scott Wolfe,63
155,Bill McEvily,28
156,James Huff,18
157,Peter Enns,23
158,Darryl Seale,23
159,John Sosik,64
160,Markus Kemmelmeier,43
161,Mark Walker,99
162,Lewis Hopkins,52
163,Bruce Avolio,141
164,Joseph Harrington,51
165,John Adgate,48
166,Pamela Schmitt,10
167,Kent Messer,36
168,Michael Riediker,43
169,Hugh Ellis,1
170,Bryan Jones,64
171,Ralph Keeney,79
172,Kurt Carlson,23
173,Arne Kalleberg,86
174,Sara Grineski,46
175,Peter Kvam,18
176,Philip Dennison,61
177,Peter Carnevale,55
178,Kenneth Davis,99
179,Mark Roberts,71
180,Michael Caramanis,38
181,Damon Hall,26
182,L Keller,127
183,Kelly Claborn,6
184,Philip Berke,58
185,Nancy Carter,39
186,Daniel Benjamin,87
187,Zygmunt Pizlo,35
188,Donald Davis,141
189,Robert Forsythe,37
